time_step,uav_id,uav_x,uav_y,true_target_x,true_target_y,true_target_vx,true_target_vy,radar_id,true_range,true_bearing,true_radial_velocity,measured_range,measured_bearing,measured_radial_velocity,detected_x,detected_y,radar_confidence,radar_snr,radar_track_id,track_status,false_alarm_flag,missed_detection_flag,clutter_flag,dropout_flag,latency_steps,fusion_mode,fused_x,fused_y,action_taken,collision_risk_flag,near_miss_flag,unnecessary_avoidance_flag,missed_response_flag,mission_success_flag,formation_error
23,1,12.0319,21.5355,50.0,50.0,0.0,0.0,1,47.851,0.64419,-1.9891,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.4783
23,2,21.1543,12.3678,50.0,50.0,0.0,0.0,2,47.8154,0.91646,-1.9983,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.4783
23,3,21.9716,21.5998,50.0,50.0,0.0,0.0,3,40.3017,0.79165,-1.9989,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.4783
24,0,12.2317,11.9067,50.0,50.0,0.0,0.0,0,54.0426,0.78948,-1.9993,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.4623
24,1,12.3249,21.8078,50.0,50.0,0.0,0.0,1,47.4532,0.64331,-1.9889,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.4623
24,2,21.4107,12.6748,50.0,50.0,0.0,0.0,2,47.4158,0.91681,-1.9982,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.4623
24,3,22.2621,21.8748,50.0,50.0,0.0,0.0,3,39.9019,0.79199,-1.9988,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.4623
25,0,12.521,12.183,50.0,50.0,0.0,0.0,0,53.6427,0.78968,-1.9993,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.4465
25,1,12.6179,22.0801,50.0,50.0,0.0,0.0,1,47.0554,0.64241,-1.9887,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.4465
25,2,21.6671,12.9818,50.0,50.0,0.0,0.0,2,47.0161,0.91716,-1.9982,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.4465
25,3,22.5526,22.1498,50.0,50.0,0.0,0.0,3,39.5022,0.79233,-1.9988,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.4465
26,0,12.8102,12.4592,50.0,50.0,0.0,0.0,0,53.2429,0.78989,-1.9992,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.4308
26,1,12.9109,22.3524,50.0,50.0,0.0,0.0,1,46.6577,0.6415,-1.9885,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.4308
26,2,21.9236,13.2888,50.0,50.0,0.0,0.0,2,46.6165,0.91753,-1.9982,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.4308
26,3,22.843,22.4247,50.0,50.0,0.0,0.0,3,39.1024,0.79268,-1.9988,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.4308
27,0,13.0995,12.7355,50.0,50.0,0.0,0.0,0,52.843,0.7901,-1.9992,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.4153
27,1,13.2038,22.6248,50.0,50.0,0.0,0.0,1,46.2601,0.64057,-1.9883,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.4153
27,2,22.18,13.5958,50.0,50.0,0.0,0.0,2,46.2169,0.9179,-1.9982,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.4153
27,3,23.1335,22.6997,50.0,50.0,0.0,0.0,3,38.7027,0.79304,-1.9988,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.4153
28,0,13.3888,13.0118,50.0,50.0,0.0,0.0,0,52.4432,0.79031,-1.9992,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.3999
28,1,13.4968,22.8971,50.0,50.0,0.0,0.0,1,45.8624,0.63963,-1.9881,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.3999
28,2,22.4364,13.9028,50.0,50.0,0.0,0.0,2,45.8172,0.91827,-1.9981,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.3999
