scenario,time_step,radar_id,track_id,est_x,est_y,est_vx,est_vy,confidence,age,missed_count,status
baseline,15,0,r0_t2,18.7431,9.3974,2.6341,2.3059,0.619,16,0,confirmed
baseline,15,0,r0_t3,18.627,19.3906,1.019,4.4621,0.434,16,0,confirmed
baseline,15,1,r1_t1,9.1854,8.8032,3.5308,2.3328,0.602,16,0,confirmed
baseline,15,1,r1_t2,18.7785,9.5666,2.1605,1.9646,0.465,16,0,confirmed
baseline,15,1,r1_t3,19.3774,18.8303,2.8402,1.9471,0.602,16,0,confirmed
baseline,15,2,r2_t1,9.3892,8.5407,3.4067,0.792,0.619,16,0,confirmed
baseline,15,2,r2_t2,8.7269,18.7746,2.6037,3.1527,0.465,16,0,confirmed
baseline,15,2,r2_t3,19.0214,18.9331,1.9516,2.4194,0.619,16,0,confirmed
baseline,15,3,r3_t1,9.4336,9.021,3.0366,2.9584,0.434,16,0,confirmed
baseline,15,3,r3_t2,9.2076,19.0027,2.244,2.5788,0.602,16,0,confirmed
baseline,15,3,r3_t3,18.3614,9.483,0.304,3.4645,0.619,16,0,confirmed
baseline,16,0,r0_t1,9.1958,19.1376,1.7612,1.7263,0.603,17,0,confirmed
baseline,16,0,r0_t2,19.1004,9.8678,2.8058,3.1126,0.621,17,0,confirmed
baseline,16,0,r0_t3,18.9766,19.4784,1.9663,2.5971,0.434,17,0,confirmed
baseline,16,1,r1_t1,9.7036,9.0761,3.9246,2.3035,0.603,17,0,confirmed
baseline,16,1,r1_t2,19.059,10.1502,2.2494,3.4141,0.467,17,0,confirmed
baseline,16,1,r1_t3,19.4975,19.1767,1.9204,2.4171,0.602,17,0,confirmed
baseline,16,2,r2_t1,9.8436,9.1401,3.5967,2.8934,0.621,17,0,confirmed
baseline,16,2,r2_t2,9.1086,19.0883,2.8924,2.8837,0.467,17,0,confirmed
baseline,16,2,r2_t3,19.3117,19.1739,2.1855,2.2129,0.62,17,0,confirmed
baseline,16,3,r3_t1,9.4061,9.4337,1.4037,3.1989,0.434,17,0,confirmed
baseline,16,3,r3_t2,9.3289,19.2539,1.6272,2.3362,0.602,17,0,confirmed
baseline,16,3,r3_t3,18.8495,9.5847,2.1858,2.1561,0.62,17,0,confirmed
baseline,17,0,r0_t1,10.0208,19.4831,4.3181,2.3029,0.603,18,0,confirmed
baseline,17,0,r0_t2,19.2299,10.3044,1.9427,3.3757,0.622,18,0,confirmed
baseline,17,0,r0_t3,19.1627,19.7466,1.7586,2.4158,0.434,18,0,confirmed
baseline,17,1,r1_t1,9.7003,9.6023,1.9482,3.3446,0.603,18,0,confirmed
baseline,17,1,r1_t2,18.7732,9.8149,-0.0662,0.3098,0.469,18,0,confirmed
baseline,17,1,r1_t3,19.6457,19.3434,1.578,1.9033,0.602,18,0,confirmed
baseline,17,2,r2_t1,9.7874,9.4849,1.5644,2.8834,0.622,18,0,confirmed
baseline,17,2,r2_t2,9.721,19.4771,3.9977,3.0618,0.469,18,0,confirmed
baseline,17,2,r2_t3,19.5985,19.4076,2.2874,2.0802,0.621,18,0,confirmed
baseline,17,3,r3_t1,9.6561,9.5438,1.7432,2.0579,0.434,18,0,confirmed
baseline,17,3,r3_t2,9.4785,19.126,1.4372,0.6351,0.602,18,0,confirmed
baseline,17,3,r3_t3,19.3752,10.1409,3.2834,3.3956,0.621,18,0,confirmed
baseline,18,0,r0_t1,10.2277,19.8147,3.0213,2.5331,0.603,19,0,confirmed
baseline,18,0,r0_t2,19.6943,10.2663,2.906,1.5291,0.623,19,0,confirmed
baseline,18,0,r0_t3,19.9034,19.6937,3.9652,0.9875,0.434,19,0,confirmed
baseline,18,1,r1_t1,9.8192,9.9899,1.4697,3.2872,0.603,19,0,confirmed
baseline,18,1,r1_t2,18.8649,10.0285,0.3488,1.0452,0.471,19,0,confirmed
baseline,18,1,r1_t3,19.8011,19.8331,1.4364,2.992,0.602,19,0,confirmed
baseline,18,2,r2_t1,10.0075,9.5246,1.6992,1.6071,0.623,19,0,confirmed
baseline,18,2,r2_t2,10.3363,19.5802,4.5627,1.9604,0.471,19,0,confirmed
baseline,18,2,r2_t3,20.1426,19.7606,3.4108,2.5108,0.622,19,0,confirmed
baseline,18,3,r3_t1,10.1631,9.8435,2.9842,2.278,0.434,19,0,confirmed
baseline,18,3,r3_t2,10.1584,19.6589,3.5513,2.5381,0.602,19,0,confirmed
baseline,18,3,r3_t3,19.5494,10.397,2.3677,2.765,0.622,19,0,confirmed
baseline,19,0,r0_t1,10.156,19.9754,1.2118,1.936,0.603,20,0,confirmed
baseline,19,0,r0_t2,20.0258,10.6084,2.8346,2.19,0.624,20,0,confirmed
baseline,19,0,r0_t3,20.5216,19.8232,4.5587,1.0336,0.434,20,0,confirmed
baseline,19,1,r1_t1,10.0766,10.318,1.8074,3.0108,0.603,20,0,confirmed
baseline,19,1,r1_t2,19.2875,10.4104,1.9354,2.1137,0.473,20,0,confirmed
baseline,19,1,r1_t3,20.1061,19.9776,1.9889,2.0979,0.602,20,0,confirmed
baseline,19,2,r2_t1,10.4113,9.6102,2.5321,1.16,0.624,20,0,confirmed
baseline,19,2,r2_t2,10.1718,19.9831,1.5959,2.659,0.473,20,0,confirmed
baseline,19,2,r2_t3,20.4428,20.1505,2.9565,2.8802,0.623,20,0,confirmed
baseline,19,3,r3_t1,10.3709,10.1196,2.3581,2.2892,0.434,20,0,confirmed
baseline,19,3,r3_t2,10.5333,19.6437,3.3377,1.2058,0.602,20,0,confirmed
baseline,19,3,r3_t3,19.8545,10.6964,2.455,2.6297,0.623,20,0,confirmed
baseline,20,0,r0_t1,10.8771,20.2033,3.6104,1.9175,0.603,21,0,confirmed
baseline,20,0,r0_t2,19.9114,11.2614,0.9405,3.816,0.625,21,0,confirmed
baseline,20,0,r0_t3,20.8332,20.1422,3.5776,1.846,0.434,21,0,confirmed
baseline,20,1,r1_t1,10.581,10.6712,3.0052,2.9768,0.603,21,0,confirmed
baseline,20,1,r1_t2,20.1986,10.998,4.7639,3.5051,0.475,21,0,confirmed
baseline,20,1,r1_t3,20.6969,20.2885,3.4562,2.3442,0.602,21,0,confirmed
baseline,20,2,r2_t1,10.91,10.0273,3.3441,2.3181,0.625,21,0,confirmed
baseline,20,2,r2_t2,10.4646,20.0012,2.0182,1.4047,0.475,21,0,confirmed
baseline,20,2,r2_t3,21.2184,20.405,4.7099,2.5003,0.625,21,0,confirmed
baseline,20,3,r3_t1,10.5209,10.2893,1.804,1.8516,0.434,21,0,confirmed
baseline,20,3,r3_t2,10.5258,19.7951,1.6377,1.2336,0.602,21,0,confirmed
baseline,20,3,r3_t3,20.0861,10.7302,2.1924,1.4559,0.625,21,0,confirmed
baseline,21,0,r0_t1,10.9782,20.5937,2.2265,2.5856,0.603,22,0,confirmed
baseline,21,0,r0_t2,20.1484,11.3263,1.4577,2.1781,0.627,22,0,confirmed
baseline,21,0,r0_t3,21.1852,20.5119,3.2553,2.4634,0.434,22,0,confirmed
baseline,21,1,r1_t1,10.8235,10.6476,2.5132,1.3902,0.603,22,0,confirmed
baseline,21,1,r1_t2,20.0949,11.3533,1.9496,3.2328,0.477,22,0,confirmed
baseline,21,1,r1_t3,20.9086,21.0252,2.6101,4.2417,0.602,22,0,confirmed
baseline,21,2,r2_t1,10.8083,10.2923,1.2482,2.263,0.627,22,0,confirmed
baseline,21,2,r2_t2,10.9095,20.2263,2.8625,1.6405,0.477,22,0,confirmed
baseline,21,2,r2_t3,21.3999,20.635,3.1109,2.2085,0.626,22,0,confirmed
baseline,21,3,r3_t1,10.6764,10.7516,1.5497,2.8524,0.434,22,0,confirmed
baseline,21,3,r3_t2,11.2879,20.4169,3.9944,3.2076,0.602,22,0,confirmed
baseline,21,3,r3_t3,20.3839,11.1997,2.337,2.6842,0.626,22,0,confirmed
baseline,22,0,r0_t1,11.1636,20.6515,1.8857,1.5338,0.603,23,0,confirmed
baseline,22,0,r0_t2,20.4134,11.6819,1.8329,2.5706,0.628,23,0,confirmed
baseline,22,0,r0_t3,21.7408,21.1102,3.943,3.7246,0.434,23,0,confirmed
baseline,22,1,r1_t1,11.2261,11.2225,2.9341,3.0903,0.603,23,0,confirmed
baseline,22,1,r1_t2,20.225,11.3088,1.5169,1.431,0.479,23,0,confirmed
baseline,22,1,r1_t3,21.1902,21.1495,2.4783,2.6389,0.602,23,0,confirmed
baseline,22,2,r2_t1,11.4741,10.851,3.3981,3.4596,0.628,23,0,confirmed
baseline,22,2,r2_t2,11.0952,20.8737,2.2053,3.5177,0.479,23,0,confirmed
baseline,22,2,r2_t3,21.5411,20.9893,2.1438,2.5806,0.627,23,0,confirmed
baseline,22,3,r3_t1,10.8551,11.1828,1.5197,3.2226,0.434,23,0,confirmed
baseline,22,3,r3_t2,11.0764,20.4261,1.1159,1.6421,0.602,23,0,confirmed
baseline,22,3,r3_t3,20.6514,11.4119,2.283,2.2261,0.627,23,0,confirmed
baseline,23,0,r0_t1,11.496,20.9621,2.3279,2.061,0.604,24,0,confirmed
baseline,23,0,r0_t2,20.6267,11.7659,1.8053,1.6354,0.629,24,0,confirmed
baseline,23,0,r0_t3,21.7097,21.2458,1.8419,2.4272,0.434,24,0,confirmed
baseline,23,1,r1_t1,11.2871,11.2617,1.7213,1.7085,0.604,24,0,confirmed
baseline,23,1,r1_t2,20.4902,11.3272,1.8635,0.7924,0.481,24,0,confirmed
baseline,23,1,r1_t3,21.6851,21.198,3.3015,1.5217,0.602,24,0,confirmed
baseline,23,2,r2_t1,11.1082,10.727,0.1746,1.2133,0.629,24,0,confirmed
baseline,23,2,r2_t2,10.7871,21.1099,-0.1814,2.7429,0.481,24,0,confirmed
baseline,23,2,r2_t3,21.5384,21.3956,1.061,2.9833,0.628,24,0,confirmed
baseline,23,3,r3_t1,11.2832,11.5123,2.5433,2.9841,0.434,24,0,confirmed
baseline,23,3,r3_t2,11.4843,20.9075,2.2577,2.8271,0.602,24,0,confirmed
baseline,23,3,r3_t3,21.1414,11.7811,3.1833,2.6516,0.628,24,0,confirmed
baseline,24,0,r0_t1,11.7014,21.3771,2.0197,2.7597,0.604,25,0,confirmed
baseline,24,0,r0_t2,21.0534,12.1789,2.6804,2.5385,0.63,25,0,confirmed
baseline,24,0,r0_t3,21.4818,21.404,-0.0289,1.8726,0.434,25,0,confirmed
baseline,24,1,r1_t1,11.6215,11.5731,2.2538,2.1518,0.604,25,0,confirmed
baseline,24,1,r1_t2,21.2368,12.1485,4.0426,3.8182,0.483,25,0,confirmed
baseline,24,1,r1_t3,21.7421,21.467,1.8882,1.8815,0.602,25,0,confirmed
baseline,24,2,r2_t1,11.9772,11.1891,3.7081,2.532,0.63,25,0,confirmed
baseline,24,2,r2_t2,11.6891,21.4006,3.6676,2.5828,0.483,25,0,confirmed
baseline,24,2,r2_t3,21.8683,21.6312,1.9049,2.4731,0.629,25,0,confirmed
